name,sex,noc,games,year,city,sport,event,medal,times
Alina Alexandra Dumitru (-Croitoru),F,ROU,2012 Summer,2012,London,Judo,Judo Women's Extra-Lightweight,Silver,21
Corina Oana Cprioriu,F,ROU,2012 Summer,2012,London,Judo,Judo Women's Lightweight,Silver,21
Roxana Daniela Coco,F,ROU,2012 Summer,2012,London,Weightlifting,Weightlifting Women's Light-Heavyweight,Silver,21
Diana Laura Bulimar,F,ROU,2012 Summer,2012,London,Gymnastics,Gymnastics Women's Team All-Around,Bronze,21
Rzvan Constantin Martin,M,ROU,2012 Summer,2012,London,Weightlifting,Weightlifting Men's Lightweight,Bronze,21
Ana Maria Florentina Brnz-Popescu,F,ROU,2016 Summer,2016,Rio de Janeiro,Fencing,"Fencing Women's epee, Team",Gold,22
Florin Mergea,M,ROU,2016 Summer,2016,Rio de Janeiro,Tennis,Tennis Men's Doubles,Silver,22
Mdlina Bere,F,ROU,2016 Summer,2016,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Bronze,22
Albert Saritov,M,ROU,2016 Summer,2016,Rio de Janeiro,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze,22
BODNAR Ancuta,F,ROU,2020 summer,2021,Tokyo,Rowing,Rowing Women's Double Sculls,Gold,23
POPESCU Ana Maria,F,ROU,2020 summer,2021,Tokyo,Fencing,Fencing Women's &Eacute;p&eacute;e Individual,Silver,23
PASCARI Cosmin,M,ROU,2020 summer,2021,Tokyo,Rowing,Rowing Men's Four,Silver,23
COZMIUC Marius,M,ROU,2020 summer,2021,Tokyo,Rowing,Rowing Men's Pair,Silver,2
"Reginald Edgar ""Reggie"" Walker",M,RSA,1908 Summer,1908,London,Athletics,Athletics Men's 100 metres,Gold,2
Charles Augustus Hefferon,M,RSA,1908 Summer,1908,London,Athletics,Athletics Men's Marathon,Silver,2
"Kennedy Kane ""Ken"" McArthur",M,RSA,1912 Summer,1912,Stockholm,Athletics,Athletics Men's Marathon,Gold,3
Rudolph Ludewyk Lewis,M,RSA,1912 Summer,1912,Stockholm,Cycling,"Cycling Men's Road Race, Individual",Gold,3
"Harold Austin ""Harry"" Kitson",M,RSA,1912 Summer,1912,Stockholm,Tennis,Tennis Men's Doubles,Gold,3
Charles Lyndhurst Winslow,M,RSA,1912 Summer,1912,Stockholm,Tennis,Tennis Men's Singles,Gold,3
"Christopher William ""Chris"" Gitsham",M,RSA,1912 Summer,1912,Stockholm,Athletics,Athletics Men's Marathon,Silver,3
"Harold Austin ""Harry"" Kitson",M,RSA,1912 Summer,1912,Stockholm,Tennis,Tennis Men's Singles,Silver,3
Bevil Gordon d'Urban Rudd,M,RSA,1920 Summer,1920,Antwerpen,Athletics,Athletics Men's 400 metres,Gold,4
"Clarence Leonard ""Sal"" Walker",M,RSA,1920 Summer,1920,Antwerpen,Boxing,Boxing Men's Bantamweight,Gold,4
Louis Bosman Raymond,M,RSA,1920 Summer,1920,Antwerpen,Tennis,Tennis Men's Singles,Gold,4
"Henning Johannes ""Henry"" Dafel",M,RSA,1920 Summer,1920,Antwerpen,Athletics,Athletics Men's 4 x 400 metres Relay,Silver,4
Henry Gustaves Kaltenbrunn,M,RSA,1920 Summer,1920,Antwerpen,Cycling,"Cycling Men's Road Race, Individual",Silver,4
"William R. ""Bill"" Smith",M,RSA,1920 Summer,1920,Antwerpen,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Silver,4
"Robert ""Bob"" Bodley",M,RSA,1920 Summer,1920,Antwerpen,Shooting,"Shooting Men's Military Rifle, Prone, 600 metres, Team",Silver,4
Bevil Gordon d'Urban Rudd,M,RSA,1920 Summer,1920,Antwerpen,Athletics,Athletics Men's 800 metres,Bronze,4
"Hendrik Willem Nicolaas ""Sammy"" Goosen",M,RSA,1920 Summer,1920,Antwerpen,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze,4
Charles Lyndhurst Winslow,M,RSA,1920 Summer,1920,Antwerpen,Tennis,Tennis Men's Singles,Bronze,4
"William Alexander ""Willie"" Smith",M,RSA,1924 Summer,1924,Paris,Boxing,Boxing Men's Bantamweight,Gold,5
"Sidney James Montford ""Sid"" Atkinson",M,RSA,1924 Summer,1924,Paris,Athletics,Athletics Men's 110 metres Hurdles,Silver,5
Cecil Charles McMaster,M,RSA,1924 Summer,1924,Paris,Athletics,Athletics Men's 10 kilometres Walk,Bronze,5
"Sidney James Montford ""Sid"" Atkinson",M,RSA,1928 Summer,1928,Amsterdam,Athletics,Athletics Men's 110 metres Hurdles,Gold,6
Harry Isaacs,M,RSA,1928 Summer,1928,Amsterdam,Boxing,Boxing Men's Bantamweight,Bronze,6
Mary Esther Bedford (-Marran),F,RSA,1928 Summer,1928,Amsterdam,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze,6
"David Krynauw Enslin ""Dave"" Carstens",M,RSA,1932 Summer,1932,Los Angeles,Boxing,Boxing Men's Light-Heavyweight,Gold,7
"Lawrence ""Laurie"" Stevens",M,RSA,1932 Summer,1932,Los Angeles,Boxing,Boxing Men's Lightweight,Gold,7
Marjorie Rees Clark (-Smith),F,RSA,1932 Summer,1932,Los Angeles,Athletics,Athletics Women's 80 metres Hurdles,Bronze,7
"Ernest ""Eddie"" Peirce",M,RSA,1932 Summer,1932,Los Angeles,Boxing,Boxing Men's Middleweight,Bronze,7
Jenny Genoveva Maakal (-Thomas),F,RSA,1932 Summer,1932,Los Angeles,Swimming,Swimming Women's 400 metres Freestyle,Bronze,7
Charles Catterall,M,RSA,1936 Summer,1936,Berlin,Boxing,Boxing Men's Featherweight,Silver,8
George Hunter,M,RSA,1948 Summer,1948,London,Boxing,Boxing Men's Light-Heavyweight,Gold,9
Gerald Dreyer,M,RSA,1948 Summer,1948,London,Boxing,Boxing Men's Lightweight,Gold,9
Ernst Van Heerden,M,RSA,1948 Summer,1948,London,Art Competitions,"Art Competitions Mixed Literature, Lyric Works",Silver,9
Dennis Graham Shepherd,M,RSA,1948 Summer,1948,London,Boxing,Boxing Men's Featherweight,Silver,9
Walter Whall Battiss,M,RSA,1948 Summer,1948,London,Art Competitions,"Art Competitions Mixed Painting, Graphic Arts",Bronze,9
"John Duncan ""Johnny"" Arthur",M,RSA,1948 Summer,1948,London,Boxing,Boxing Men's Heavyweight,Bronze,9
Esther Cornelia Brand (van Heerden-),F,RSA,1952 Summer,1952,Helsinki,Athletics,Athletics Women's High Jump,Gold,10
Joan Cynthia Harrison (-Breetzke),F,RSA,1952 Summer,1952,Helsinki,Swimming,Swimming Women's 100 metres Backstroke,Gold,10
Daphne Lilian Evelyn Robb-Hasenjger,F,RSA,1952 Summer,1952,Helsinki,Athletics,Athletics Women's 100 metres,Silver,10
Theunis Jacobus van Schalkwyk,M,RSA,1952 Summer,1952,Helsinki,Boxing,Boxing Men's Light-Middleweight,Silver,10
"Raymond Leonard ""Ray"" Robinson",M,RSA,1952 Summer,1952,Helsinki,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Silver,10
George Anders Estman,M,RSA,1952 Summer,1952,Helsinki,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver,10
"Leonard John ""Len"" Leisching",M,RSA,1952 Summer,1952,Helsinki,Boxing,Boxing Men's Featherweight,Bronze,10
Willie Michael Toweel,M,RSA,1952 Summer,1952,Helsinki,Boxing,Boxing Men's Flyweight,Bronze,10
"Andries Christiaan ""Dries"" Nieman",M,RSA,1952 Summer,1952,Helsinki,Boxing,Boxing Men's Heavyweight,Bronze,10
"Raymond Leonard ""Ray"" Robinson",M,RSA,1952 Summer,1952,Helsinki,Cycling,"Cycling Men's 1,000 metres Time Trial",Bronze,10
"Daniel Wepener ""Daan"" Bekker",M,RSA,1956 Summer,1956,Melbourne,Boxing,Boxing Men's Heavyweight,Bronze,11
Henry James Loubscher,M,RSA,1956 Summer,1956,Melbourne,Boxing,Boxing Men's Light-Welterweight,Bronze,11
"Alfred James ""Jimmy"" Swift",M,RSA,1956 Summer,1956,Melbourne,Cycling,"Cycling Men's 1,000 metres Time Trial",Bronze,11
Moira Abernethy (-Ford),F,RSA,1956 Summer,1956,Melbourne,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze,11
"Daniel Wepener ""Daan"" Bekker",M,RSA,1960 Summer,1960,Roma,Boxing,Boxing Men's Heavyweight,Silver,12
Malcolm Clive Spence,M,RSA,1960 Summer,1960,Roma,Athletics,Athletics Men's 400 metres,Bronze,12
William Ernest Meyers,M,RSA,1960 Summer,1960,Roma,Boxing,Boxing Men's Featherweight,Bronze,12
Elana Meyer (-van Zyl),F,RSA,1992 Summer,1992,Barcelona,Athletics,"Athletics Women's 10,000 metres",Silver,13
Wayne Richard Ferreira,M,RSA,1992 Summer,1992,Barcelona,Tennis,Tennis Men's Doubles,Silver,13
Josia Thugwane,M,RSA,1996 Summer,1996,Atlanta,Athletics,Athletics Men's Marathon,Gold,14
"Penelope ""Penny"" Heyns",F,RSA,1996 Summer,1996,Atlanta,Swimming,Swimming Women's 100 metres Breaststroke,Gold,14
"Penelope ""Penny"" Heyns",F,RSA,1996 Summer,1996,Atlanta,Swimming,Swimming Women's 200 metres Breaststroke,Gold,14
Hezekiel Sello Sepeng,M,RSA,1996 Summer,1996,Atlanta,Athletics,Athletics Men's 800 metres,Silver,14
Marianne Kriel,F,RSA,1996 Summer,1996,Atlanta,Swimming,Swimming Women's 100 metres Backstroke,Bronze,14
Hestrie Storbeck-Cloete (-Els),F,RSA,2000 Summer,2000,Sydney,Athletics,Athletics Women's High Jump,Silver,15
Terence Michael Parkin,M,RSA,2000 Summer,2000,Sydney,Swimming,Swimming Men's 200 metres Breaststroke,Silver,15
Llewellyn George Herbert,M,RSA,2000 Summer,2000,Sydney,Athletics,Athletics Men's 400 metres Hurdles,Bronze,15
Frantz Kruger,M,RSA,2000 Summer,2000,Sydney,Athletics,Athletics Men's Discus Throw,Bronze,15
"Penelope ""Penny"" Heyns",F,RSA,2000 Summer,2000,Sydney,Swimming,Swimming Women's 100 metres Breaststroke,Bronze,15
Lyndon Ferns,M,RSA,2004 Summer,2004,Athina,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,16
Mbulaeni Tongai Mulaudzi,M,RSA,2004 Summer,2004,Athina,Athletics,Athletics Men's 800 metres,Silver,16
Hestrie Storbeck-Cloete (-Els),F,RSA,2004 Summer,2004,Athina,Athletics,Athletics Women's High Jump,Silver,16
Roland Mark Schoeman,M,RSA,2004 Summer,2004,Athina,Swimming,Swimming Men's 100 metres Freestyle,Silver,16
"Donovan ""Donnie"" Cech",M,RSA,2004 Summer,2004,Athina,Rowing,Rowing Men's Coxless Pairs,Bronze,16
Roland Mark Schoeman,M,RSA,2004 Summer,2004,Athina,Swimming,Swimming Men's 50 metres Freestyle,Bronze,16
Godfrey Khotso Mokoena,M,RSA,2008 Summer,2008,Beijing,Athletics,Athletics Men's Long Jump,Silver,17
Matthew Brittain,M,RSA,2012 Summer,2012,London,Rowing,Rowing Men's Lightweight Coxless Fours,Gold,18
Cameron van der Burgh,M,RSA,2012 Summer,2012,London,Swimming,Swimming Men's 100 metres Breaststroke,Gold,18
Chad Guy Bertrand le Clos,M,RSA,2012 Summer,2012,London,Swimming,Swimming Men's 200 metres Butterfly,Gold,18
Mokgadi Caster Semenya,F,RSA,2012 Summer,2012,London,Athletics,Athletics Women's 800 metres,Silver,18
Chad Guy Bertrand le Clos,M,RSA,2012 Summer,2012,London,Swimming,Swimming Men's 100 metres Butterfly,Silver,18
Bridgitte Ellen Hartley,F,RSA,2012 Summer,2012,London,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Bronze,18
Wayde van Niekerk,M,RSA,2016 Summer,2016,Rio de Janeiro,Athletics,Athletics Men's 400 metres,Gold,19
Mokgadi Caster Semenya,F,RSA,2016 Summer,2016,Rio de Janeiro,Athletics,Athletics Women's 800 metres,Gold,19
Luvo Manyonga,M,RSA,2016 Summer,2016,Rio de Janeiro,Athletics,Athletics Men's Long Jump,Silver,19
Sunette Stella Viljoen,F,RSA,2016 Summer,2016,Rio de Janeiro,Athletics,Athletics Women's Javelin Throw,Silver,19
Lawrence Brittain,M,RSA,2016 Summer,2016,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,Silver,19
Cameron van der Burgh,M,RSA,2016 Summer,2016,Rio de Janeiro,Swimming,Swimming Men's 100 metres Breaststroke,Silver,19
Chad Guy Bertrand le Clos,M,RSA,2016 Summer,2016,Rio de Janeiro,Swimming,Swimming Men's 100 metres Butterfly,Silver,19
Chad Guy Bertrand le Clos,M,RSA,2016 Summer,2016,Rio de Janeiro,Swimming,Swimming Men's 200 metres Freestyle,Silver,19
Cecil Sebastian Afrika,M,RSA,2016 Summer,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze,19
Henri Schoeman,M,RSA,2016 Summer,2016,Rio de Janeiro,Triathlon,Triathlon Men's Olympic Distance,Bronze,19
SCHOENMAKER Tatjana,F,RSA,2020 summer,2021,Tokyo,Swimming,Swimming Women's 200m Breaststroke,Gold,20
BUITENDAG Bianca,F,RSA,2020 summer,2021,Tokyo,Surfing,Surfing Women,Silver,20
SCHOENMAKER Tatjana,F,RSA,2020 summer,2021,Tokyo,Swimming,Swimming Women's 100m Breaststroke,Silver,20
Nikolay Aleksandrovich Kolomenkin,M,RUS,1908 Summer,1908,London,Figure Skating,Figure Skating Men's Special Figures,Gold,2
Aleksandr Petrovich Petrov,M,RUS,1908 Summer,1908,London,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Silver,2
Nikolay Orlov,M,RUS,1908 Summer,1908,London,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Silver,2
Amos Markovich Kash,M,RUS,1912 Summer,1912,Stockholm,Shooting,"Shooting Men's Dueling Pistol, 30 metres, Team",Silver,3
Martin Klein,M,RUS,1912 Summer,1912,Stockholm,Wrestling,"Wrestling Men's Middleweight A, Greco-Roman",Silver,3
"Hugo Maksimilian ""Mart"" Kuusik",M,RUS,1912 Summer,1912,Stockholm,Rowing,Rowing Men's Single Sculls,Bronze,3
Esper Konstantinovich Beloselsky-Belozersky,M,RUS,1912 Summer,1912,Stockholm,Sailing,Sailing Mixed 10 metres,Bronze,3
"Haralds Karl Adolf ""Harry"" Blaus",M,RUS,1912 Summer,1912,Stockholm,Shooting,Shooting Men's Trap,Bronze,3
Svetlana Aleksandrovna Masterkova,F,RUS,1996 Summer,1996,Atlanta,Athletics,"Athletics Women's 1,500 metres",Gold,5
Yelena Nikolayevna Nikolayeva (Kuznetsova-),F,RUS,1996 Summer,1996,Atlanta,Athletics,Athletics Women's 10 kilometres Walk,Gold,5
Svetlana Aleksandrovna Masterkova,F,RUS,1996 Summer,1996,Atlanta,Athletics,Athletics Women's 800 metres,Gold,5
Oleg Elekpayevich Saitov,M,RUS,1996 Summer,1996,Atlanta,Boxing,Boxing Men's Welterweight,Gold,5
Zulfiya Khasanovna Zabirova,F,RUS,1996 Summer,1996,Atlanta,Cycling,Cycling Women's Individual Time Trial,Gold,5
Dmitry Ivanovich Sautin,M,RUS,1996 Summer,1996,Atlanta,Diving,Diving Men's Platform,Gold,5
Aleksandr Vladimirovich Beketov,M,RUS,1996 Summer,1996,Atlanta,Fencing,"Fencing Men's epee, Individual",Gold,5
Ilgar Yashar-ogly Mamedov,M,RUS,1996 Summer,1996,Atlanta,Fencing,"Fencing Men's Foil, Team",Gold,5
Stanislav Alekseyevich Pozdnyakov,M,RUS,1996 Summer,1996,Atlanta,Fencing,"Fencing Men's Sabre, Individual",Gold,5
Grigory Anatolyevich Kiriyenko,M,RUS,1996 Summer,1996,Atlanta,Fencing,"Fencing Men's Sabre, Team",Gold,5
Aleksey Yuryevich Nemov,M,RUS,1996 Summer,1996,Atlanta,Gymnastics,Gymnastics Men's Horse Vault,Gold,5
Sergey Vladimirovich Kharkov,M,RUS,1996 Summer,1996,Atlanta,Gymnastics,Gymnastics Men's Team All-Around,Gold,5
Svetlana Vasilyevna Khorkina,F,RUS,1996 Summer,1996,Atlanta,Gymnastics,Gymnastics Women's Uneven Bars,Gold,5
Artyom Aleksandrovich Khadzhibekov,M,RUS,1996 Summer,1996,Atlanta,Shooting,"Shooting Men's Air Rifle, 10 metres",Gold,5
Boris Borisovich Kokorev,M,RUS,1996 Summer,1996,Atlanta,Shooting,"Shooting Men's Free Pistol, 50 metres",Gold,5
Olga Gennadyevna Klochneva-Kuznetsova,F,RUS,1996 Summer,1996,Atlanta,Shooting,"Shooting Women's Air Pistol, 10 metres",Gold,5
Denis Vladimirovich Pankratov,M,RUS,1996 Summer,1996,Atlanta,Swimming,Swimming Men's 100 metres Butterfly,Gold,5
Aleksandr Vladimirovich Popov,M,RUS,1996 Summer,1996,Atlanta,Swimming,Swimming Men's 100 metres Freestyle,Gold,5
Denis Vladimirovich Pankratov,M,RUS,1996 Summer,1996,Atlanta,Swimming,Swimming Men's 200 metres Butterfly,Gold,5
Aleksandr Vladimirovich Popov,M,RUS,1996 Summer,1996,Atlanta,Swimming,Swimming Men's 50 metres Freestyle,Gold,5
Aleksey Aleksandrovich Petrov,M,RUS,1996 Summer,1996,Atlanta,Weightlifting,Weightlifting Men's Middle-Heavyweight,Gold,5
Andrey Ivanovich Chemerkin,M,RUS,1996 Summer,1996,Atlanta,Weightlifting,Weightlifting Men's Super-Heavyweight,Gold,5
Vadim Iosifovich Bogiyev,M,RUS,1996 Summer,1996,Atlanta,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold,5
Khadzhimurat Saygidmagomedovich Magomedov,M,RUS,1996 Summer,1996,Atlanta,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold,5
Aleksandr Aleksandrovich Karelin,M,RUS,1996 Summer,1996,Atlanta,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Gold,5
Buvaysar Khamidovich Saytiyev,M,RUS,1996 Summer,1996,Atlanta,Wrestling,"Wrestling Men's Welterweight, Freestyle",Gold,5
Ilya Vladislavovich Markov,M,RUS,1996 Summer,1996,Atlanta,Athletics,Athletics Men's 20 kilometres Walk,Silver,5
Mikhail Anatolyevich Shchennikov,M,RUS,1996 Summer,1996,Atlanta,Athletics,Athletics Men's 50 kilometres Walk,Silver,5
Igor Leonidovich Trandenkov,M,RUS,1996 Summer,1996,Atlanta,Athletics,Athletics Men's Pole Vault,Silver,5
Nataliya Ivanovna Sadova (Kaptyukh-),F,RUS,1996 Summer,1996,Atlanta,Athletics,Athletics Women's Discus Throw,Silver,5
Valentina Mikhaylovna Yegorova (Vasilyeva-),F,RUS,1996 Summer,1996,Atlanta,Athletics,Athletics Women's Marathon,Silver,5
Inna Aleksandrovna Lasovskaya,F,RUS,1996 Summer,1996,Atlanta,Athletics,Athletics Women's Triple Jump,Silver,5
Eduard Vyacheslavovich Gritsun,M,RUS,1996 Summer,1996,Atlanta,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver,5
Irina Lashko (-Furler-),F,RUS,1996 Summer,1996,Atlanta,Diving,Diving Women's Springboard,Silver,5
Aleksandr Vladimirovich Beketov,M,RUS,1996 Summer,1996,Atlanta,Fencing,"Fencing Men's epee, Team",Silver,5
Sergey Aleksandrovich Sharikov,M,RUS,1996 Summer,1996,Atlanta,Fencing,"Fencing Men's Sabre, Individual",Silver,5
Aleksey Yuryevich Nemov,M,RUS,1996 Summer,1996,Atlanta,Gymnastics,Gymnastics Men's Individual All-Around,Silver,5
Yelena Vladimirovna Dolgopolova,F,RUS,1996 Summer,1996,Atlanta,Gymnastics,Gymnastics Women's Team All-Around,Silver,5
Eduard Grigoryevich Zenovka,M,RUS,1996 Summer,1996,Atlanta,Modern Pentathlon,Modern Pentathlon Men's Individual,Silver,5
"Yanina Farkhadovna ""Yana"" Batyrshina",F,RUS,1996 Summer,1996,Atlanta,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Silver,5
Dmitry Alekseyevich Shabanov,M,RUS,1996 Summer,1996,Atlanta,Sailing,Sailing Mixed Three Person Keelboat,Silver,5
Marina Viktorovna Dobrancheva-Logvinenko,F,RUS,1996 Summer,1996,Atlanta,Shooting,"Shooting Women's Air Pistol, 10 metres",Silver,5
Irina Aleksandrovna Gerasimyonok,F,RUS,1996 Summer,1996,Atlanta,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Silver,5
Denis Sergeyevich Pimankov,M,RUS,1996 Summer,1996,Atlanta,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver,5
Roman Gennadyevich Ivanovsky,M,RUS,1996 Summer,1996,Atlanta,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver,5
Sergey Aleksandrovich Syrtsov,M,RUS,1996 Summer,1996,Atlanta,Weightlifting,Weightlifting Men's Heavyweight II,Silver,5
Makharbek Khazbiyevich Khadartsev,M,RUS,1996 Summer,1996,Atlanta,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver,5
Irina Aleksandrovna Khudoroshkina,F,RUS,1996 Summer,1996,Atlanta,Athletics,Athletics Women's Shot Put,Bronze,5
Raimkul Khadoynazarovich Malakhbekov,M,RUS,1996 Summer,1996,Atlanta,Boxing,Boxing Men's Bantamweight,Bronze,5
Albert Aleksandrovich Pakeyev,M,RUS,1996 Summer,1996,Atlanta,Boxing,Boxing Men's Flyweight,Bronze,5
Aleksey Vladimirovich Lyozin,M,RUS,1996 Summer,1996,Atlanta,Boxing,Boxing Men's Super-Heavyweight,Bronze,5
Oleg Vladimirovich Goroby,M,RUS,1996 Summer,1996,Atlanta,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze,5
Karina Borisovna Aznavuryan,F,RUS,1996 Summer,1996,Atlanta,Fencing,"Fencing Women's epee, Team",Bronze,5
Aleksey Yuryevich Nemov,M,RUS,1996 Summer,1996,Atlanta,Gymnastics,Gymnastics Men's Floor Exercise,Bronze,5
Aleksey Yuryevich Nemov,M,RUS,1996 Summer,1996,Atlanta,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze,5
Aleksey Yuryevich Nemov,M,RUS,1996 Summer,1996,Atlanta,Gymnastics,Gymnastics Men's Pommelled Horse,Bronze,5
Yevgeniya Aleksandrovna Bochkaryova,F,RUS,1996 Summer,1996,Atlanta,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze,5
Nikolay Aleksandrovich Aksyonov,M,RUS,1996 Summer,1996,Atlanta,Rowing,Rowing Men's Coxed Eights,Bronze,5
Marina Viktorovna Dobrancheva-Logvinenko,F,RUS,1996 Summer,1996,Atlanta,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Bronze,5
Vladislav Vladimirovich Kulikov,M,RUS,1996 Summer,1996,Atlanta,Swimming,Swimming Men's 100 metres Butterfly,Bronze,5
Andrey Nikolayevich Korneyev,M,RUS,1996 Summer,1996,Atlanta,Swimming,Swimming Men's 200 metres Breaststroke,Bronze,5
Zafar Safar ogly Guliyev,M,RUS,1996 Summer,1996,Atlanta,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Bronze,5
Aleksandr Vladimirovich Tretyakov,M,RUS,1996 Summer,1996,Atlanta,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Bronze,5
Sergey Petrovich Klyugin,M,RUS,2000 Summer,2000,Sydney,Athletics,Athletics Men's High Jump,Gold,6
Irina Anatolyevna Privalova (Sergeyeva-),F,RUS,2000 Summer,2000,Sydney,Athletics,Athletics Women's 400 metres Hurdles,Gold,6
Yelena Borisovna Yelesina,F,RUS,2000 Summer,2000,Sydney,Athletics,Athletics Women's High Jump,Gold,6
Aleksandr Borisovich Lebzyak,M,RUS,2000 Summer,2000,Sydney,Boxing,Boxing Men's Light-Heavyweight,Gold,6
Oleg Elekpayevich Saitov,M,RUS,2000 Summer,2000,Sydney,Boxing,Boxing Men's Welterweight,Gold,6
Vyacheslav Vladimirovich Yekimov,M,RUS,2000 Summer,2000,Sydney,Cycling,Cycling Men's Individual Time Trial,Gold,6
Igor Vladimirovich Lukashin,M,RUS,2000 Summer,2000,Sydney,Diving,Diving Men's Synchronized Platform,Gold,6
Vera Sergeyevna Ilyina,F,RUS,2000 Summer,2000,Sydney,Diving,Diving Women's Synchronized Springboard,Gold,6
Pavel Anatolyevich Kolobkov,M,RUS,2000 Summer,2000,Sydney,Fencing,"Fencing Men's epee, Individual",Gold,6
Aleksey Mikhaylovich Frosin,M,RUS,2000 Summer,2000,Sydney,Fencing,"Fencing Men's Sabre, Team",Gold,6
Karina Borisovna Aznavuryan,F,RUS,2000 Summer,2000,Sydney,Fencing,"Fencing Women's epee, Team",Gold,6
Aleksey Yuryevich Nemov,M,RUS,2000 Summer,2000,Sydney,Gymnastics,Gymnastics Men's Horizontal Bar,Gold,6
Aleksey Yuryevich Nemov,M,RUS,2000 Summer,2000,Sydney,Gymnastics,Gymnastics Men's Individual All-Around,Gold,6
Yelena Mikhaylovna Zamolodchikova,F,RUS,2000 Summer,2000,Sydney,Gymnastics,Gymnastics Women's Floor Exercise,Gold,6
Yelena Mikhaylovna Zamolodchikova,F,RUS,2000 Summer,2000,Sydney,Gymnastics,Gymnastics Women's Horse Vault,Gold,6
Svetlana Vasilyevna Khorkina,F,RUS,2000 Summer,2000,Sydney,Gymnastics,Gymnastics Women's Uneven Bars,Gold,6
Dmitry Rudolfovich Filippov,M,RUS,2000 Summer,2000,Sydney,Handball,Handball Men's Handball,Gold,6
Dmitry Valeryevich Svatkovsky,M,RUS,2000 Summer,2000,Sydney,Modern Pentathlon,Modern Pentathlon Men's Individual,Gold,6
Irina Olegovna Belova,F,RUS,2000 Summer,2000,Sydney,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold,6
Yuliya Vladimirovna Barsukova (-Samokhin),F,RUS,2000 Summer,2000,Sydney,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Gold,6
Sergey Gennadyevich Alifirenko,M,RUS,2000 Summer,2000,Sydney,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold,6
Olga Aleksandrovna Brusnikina,F,RUS,2000 Summer,2000,Sydney,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold,6
Yelena Yuryevna Azarova,F,RUS,2000 Summer,2000,Sydney,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,6
Yevgeny Aleksandrovich Kafelnikov,M,RUS,2000 Summer,2000,Sydney,Tennis,Tennis Men's Singles,Gold,6
Aleksandr Nikolayevich Moskalenko,M,RUS,2000 Summer,2000,Sydney,Trampolining,Trampolining Men's Individual,Gold,6
Irina Vladimirovna Karavayeva,F,RUS,2000 Summer,2000,Sydney,Trampolining,Trampolining Women's Individual,Gold,6
Sagid Magomedovich Murtazaliyev,M,RUS,2000 Summer,2000,Sydney,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Gold,6
Adam Khamidovich Saytiyev,M,RUS,2000 Summer,2000,Sydney,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold,6
Murad Mustafayevich Umakhanov,M,RUS,2000 Summer,2000,Sydney,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold,6
Varteres Varteresovich Samurgashev,M,RUS,2000 Summer,2000,Sydney,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Gold,6
Murat Nausbiyevich Kardanov,M,RUS,2000 Summer,2000,Sydney,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Gold,6
David Vladimirovi Musubes,M,RUS,2000 Summer,2000,Sydney,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold,6
Olga Sergeyevna Kuzenkova,F,RUS,2000 Summer,2000,Sydney,Athletics,Athletics Women's Hammer Throw,Silver,6
